"symbol_ticker","exchange"
CCNE,NASDAQ
CCNEP,NASDAQ
CCOI,NASDAQ
CDW,NASDAQ
CDZIP,NASDAQ
CEG,NASDAQ
CFBK,NASDAQ
CFFI,NASDAQ
CFFN,NASDAQ
CGABL,NASDAQ
CGBD,NASDAQ
CGNX,NASDAQ
CHCO,NASDAQ
CHMG,NASDAQ
CHRD,NASDAQ
CHRW,NASDAQ
CHX,NASDAQ
CIGI,NASDAQ
CINF,NASDAQ
CIVB,NASDAQ
CIZN,NASDAQ
CLAR,NASDAQ
CLMB,NASDAQ
CMCO,NASDAQ
CMCSA,NASDAQ
CME,NASDAQ
CNOB,NASDAQ
CNOBP,NASDAQ
CNXC,NASDAQ
CNXN,NASDAQ
COFS,NASDAQ
COKE,NASDAQ
COLB,NASDAQ
COLM,NASDAQ
COST,NASDAQ
CPB,NASDAQ
CPHC,NASDAQ
CPZ,NASDAQ
CRAI,NASDAQ
CRCT,NASDAQ
CRWS,NASDAQ
CSCO,NASDAQ
CSGS,NASDAQ
CSPI,NASDAQ
CSSEN,NASDAQ
CSWC,NASDAQ
CSWI,NASDAQ
CSX,NASDAQ
CTAS,NASDAQ
CTBI,NASDAQ
CTSH,NASDAQ
CURI,NASDAQ
CVBF,NASDAQ
CVGW,NASDAQ
CWBC,NASDAQ
CWCO,NASDAQ
CYCC,NASDAQ
CZFS,NASDAQ
CZNC,NASDAQ
CZWI,NASDAQ
DCOM,NASDAQ
DGICA,NASDAQ
DGICB,NASDAQ
DHIL,NASDAQ
DLO,NASDAQ
DNUT,NASDAQ
DOMH,NASDAQ
DOOO,NASDAQ
DOX,NASDAQ
DPZ,NASDAQ
DRS,NASDAQ
EA,NASDAQ
EBAY,NASDAQ
EBC,NASDAQ
EBMT,NASDAQ
EFSC,NASDAQ
EFSI,NASDAQ
EGBN,NASDAQ
ELTK,NASDAQ
EMBC,NASDAQ
EML,NASDAQ
ENSG,NASDAQ
ENTG,NASDAQ
EPSN,NASDAQ
ERIE,NASDAQ
ESCA,NASDAQ
ESEA,NASDAQ
ESLT,NASDAQ
ESOA,NASDAQ
ESQ,NASDAQ
ESSA,NASDAQ
EVRG,NASDAQ
EWBC,NASDAQ
EXC,NASDAQ
EXE,NASDAQ
EXPE,NASDAQ
EXPI,NASDAQ
EXPO,NASDAQ
FANG,NASDAQ
FAST,NASDAQ
FATBP,NASDAQ
FBIZ,NASDAQ
FBNC,NASDAQ
FCAP,NASDAQ
FCBC,NASDAQ
FCCO,NASDAQ
FCFS,NASDAQ
FCNCA,NASDAQ
FDBC,NASDAQ
FDUS,NASDAQ
FELE,NASDAQ
FER,NASDAQ
FFBC,NASDAQ
FFIC,NASDAQ
FFIN,NASDAQ
FGBI,NASDAQ
FGBIP,NASDAQ
FGFPP,NASDAQ
FHB,NASDAQ
FIBK,NASDAQ
FIP,NASDAQ
FISI,NASDAQ
FITB,NASDAQ
FLXS,NASDAQ
FMAO,NASDAQ
FMBH,NASDAQ
FMNB,NASDAQ
FNLC,NASDAQ
FNWB,NASDAQ
FNWD,NASDAQ
FOX,NASDAQ
FOXA,NASDAQ
FRAF,NASDAQ
FRBA,NASDAQ
FRD,NASDAQ
FRME,NASDAQ
FRST,NASDAQ
FSBC,NASDAQ
FSBW,NASDAQ
FSFG,NASDAQ
FSV,NASDAQ
FTAIN,NASDAQ
FULT,NASDAQ
FULTP,NASDAQ
FUNC,NASDAQ
FUSB,NASDAQ
FXNC,NASDAQ
GABC,NASDAQ
GAIN,NASDAQ
GAINI,NASDAQ
GAINN,NASDAQ
GAINZ,NASDAQ
GBDC,NASDAQ
GCBC,NASDAQ
GCMG,NASDAQ
GDEN,NASDAQ
GDEV,NASDAQ
GECC,NASDAQ
GECCI,NASDAQ
GECCO,NASDAQ
GEGGL,NASDAQ
GEHC,NASDAQ
GEN,NASDAQ
GENK,NASDAQ
GILD,NASDAQ
GLAD,NASDAQ
GLNG,NASDAQ
GNTX,NASDAQ
GOGL,NASDAQ
GOOG,NASDAQ
GOOGL,NASDAQ
GROW,NASDAQ
GSBC,NASDAQ
GSHD,NASDAQ
GSM,NASDAQ
GTX,NASDAQ
GWRS,NASDAQ
HAFC,NASDAQ
HAS,NASDAQ
HBAN,NASDAQ
HBANM,NASDAQ
HBCP,NASDAQ
HBNC,NASDAQ
HBT,NASDAQ
HCKT,NASDAQ
HFBL,NASDAQ
HFWA,NASDAQ
HIFS,NASDAQ
HLNE,NASDAQ
HNNA,NASDAQ
HNVR,NASDAQ
HOFT,NASDAQ
HON,NASDAQ
HONE,NASDAQ
HOPE,NASDAQ
HPK,NASDAQ
HQI,NASDAQ
HROWL,NASDAQ
HROWM,NASDAQ
HRZN,NASDAQ
HSII,NASDAQ
HSTM,NASDAQ
HTBI,NASDAQ
HTBK,NASDAQ
HTLD,NASDAQ
HTO,NASDAQ
HUBG,NASDAQ
HWBK,NASDAQ
HWC,NASDAQ
HWCPZ,NASDAQ
HWKN,NASDAQ
IBCP,NASDAQ
IBKR,NASDAQ
IBOC,NASDAQ
ICFI,NASDAQ
ICMB,NASDAQ
ICON,NASDAQ
IDCC,NASDAQ
IGIC,NASDAQ
III,NASDAQ
IMKTA,NASDAQ
IMMR,NASDAQ
INBK,NASDAQ
INDB,NASDAQ
INTR,NASDAQ
INTU,NASDAQ
IOSP,NASDAQ
IPAR,NASDAQ
IRDM,NASDAQ
IRMD,NASDAQ
IROQ,NASDAQ
ISBA,NASDAQ
ISTR,NASDAQ
ITIC,NASDAQ
ITRN,NASDAQ
JACK,NASDAQ
JAKK,NASDAQ
JBHT,NASDAQ
JBIO,NASDAQ
JJSF,NASDAQ
JKHY,NASDAQ
JMSB,NASDAQ
JOUT,NASDAQ
JRSH,NASDAQ
JRVR,NASDAQ
KALU,NASDAQ
KDP,NASDAQ
KELYA,NASDAQ
KELYB,NASDAQ
KHC,NASDAQ
KLAC,NASDAQ
KLIC,NASDAQ
KMB,NASDAQ
KMDA,NASDAQ
KRNY,NASDAQ
KRT,NASDAQ
LAKE,NASDAQ
LANC,NASDAQ
LANDM,NASDAQ
LANDO,NASDAQ
LARK,NASDAQ
LBRDP,NASDAQ
LCNB,NASDAQ
LCUT,NASDAQ
LECO,NASDAQ
LFMDP,NASDAQ
LFUS,NASDAQ
LFVN,NASDAQ
LIEN,NASDAQ
LIN,NASDAQ
LINE,NASDAQ
LKFN,NASDAQ
LKQ,NASDAQ
LMAT,NASDAQ
LMNR,NASDAQ
LNKB,NASDAQ
LNT,NASDAQ
LRCX,NASDAQ
LRFC,NASDAQ
LSBK,NASDAQ
LSTR,NASDAQ
LYTS,NASDAQ
MAR,NASDAQ
MBCN,NASDAQ
MBIN,NASDAQ
MBINL,NASDAQ
MBINN,NASDAQ
MBWM,NASDAQ
MCBS,NASDAQ
MCHP,NASDAQ
MCHPP,NASDAQ
MCRI,NASDAQ
MDLZ,NASDAQ
MEOH,NASDAQ
MERC,NASDAQ
META,NASDAQ
METC,NASDAQ
METCB,NASDAQ
METCL,NASDAQ
METCZ,NASDAQ
MFIC,NASDAQ
MFICL,NASDAQ
MFIN,NASDAQ
MGEE,NASDAQ
MGIC,NASDAQ
MGPI,NASDAQ
MGRC,NASDAQ
MGYR,NASDAQ
MKSI,NASDAQ
MKTW,NASDAQ
MKTX,NASDAQ
MKZR,NASDAQ
MLAB,NASDAQ
MLKN,NASDAQ
MNDO,NASDAQ
MNRO,NASDAQ
MNSB,NASDAQ
MNSBP,NASDAQ
MOFG,NASDAQ
MORN,NASDAQ
MPB,NASDAQ
MPWR,NASDAQ
MRBK,NASDAQ
MRCC,NASDAQ
MRTN,NASDAQ
MRVL,NASDAQ
MRX,NASDAQ
MSBI,NASDAQ
MSEX,NASDAQ
MSFT,NASDAQ
MTCH,NASDAQ
MU,NASDAQ
MVBF,NASDAQ
MZTI,NASDAQ
NATH,NASDAQ
NAVI,NASDAQ
NBN,NASDAQ
NBTB,NASDAQ
NCMI,NASDAQ
NDAQ,NASDAQ
NDSN,NASDAQ
NECB,NASDAQ
NEWTH,NASDAQ
NFBK,NASDAQ
NHTC,NASDAQ
NKSH,NASDAQ
NMFC,NASDAQ
NMRK,NASDAQ
NRC,NASDAQ
NRIM,NASDAQ
NSSC,NASDAQ
NTAP,NASDAQ
NTIC,NASDAQ
NTRS,NASDAQ
NVDA,NASDAQ
NVEC,NASDAQ
NWBI,NASDAQ
NWE,NASDAQ
NWFL,NASDAQ
NWL,NASDAQ
NWS,NASDAQ
NWSA,NASDAQ
NXPI,NASDAQ
NXST,NASDAQ
NYMTG,NASDAQ
NYMTI,NASDAQ
NYMTL,NASDAQ
OBT,NASDAQ
OCCI,NASDAQ
OCCIO,NASDAQ
OCFC,NASDAQ
OCSL,NASDAQ
ODFL,NASDAQ
OFED,NASDAQ
OFLX,NASDAQ
OFS,NASDAQ
OLED,NASDAQ
ONB,NASDAQ
OPBK,NASDAQ
OPINL,NASDAQ
OPOF,NASDAQ
ORAAF,NASDAQ
ORRF,NASDAQ
OSBC,NASDAQ
OSPN,NASDAQ
OSW,NASDAQ
OTEX,NASDAQ
OTTR,NASDAQ
OVBC,NASDAQ
OVLY,NASDAQ
OXLCG,NASDAQ
OXLCI,NASDAQ
OXLCL,NASDAQ
OXLCZ,NASDAQ
OXSQG,NASDAQ
OZK,NASDAQ
PAHC,NASDAQ
PANL,NASDAQ
PARA,NASDAQ
PARAA,NASDAQ
PATK,NASDAQ
PAX,NASDAQ
PAYX,NASDAQ
PBHC,NASDAQ
PBNC,NASDAQ
PCAR,NASDAQ
PCB,NASDAQ
PEBK,NASDAQ
PEBO,NASDAQ
PECO,NASDAQ
PEGA,NASDAQ
PEP,NASDAQ
PFG,NASDAQ
PFIS,NASDAQ
PFX,NASDAQ
PGC,NASDAQ
PINC,NASDAQ
PKBK,NASDAQ
PKOH,NASDAQ
PLBC,NASDAQ
PLPC,NASDAQ
PLTK,NASDAQ
PNFP,NASDAQ
PNFPP,NASDAQ
POOL,NASDAQ
POWI,NASDAQ
POWL,NASDAQ
POWWP,NASDAQ
PPBI,NASDAQ
PPC,NASDAQ
PRCH,NASDAQ
PRCT,NASDAQ
PRGS,NASDAQ
PROK,NASDAQ
PRPH,NASDAQ
PRTG,NASDAQ
PRTH,NASDAQ
PRTS,NASDAQ
PSEC,NASDAQ
PSMT,NASDAQ
PTEN,NASDAQ
PWOD,NASDAQ
PWP,NASDAQ
PZZA,NASDAQ
QCOM,NASDAQ
QCRH,NASDAQ
QRTEP,NASDAQ
RAND,NASDAQ
RBB,NASDAQ
RBCAA,NASDAQ
RCKY,NASDAQ
RDVT,NASDAQ
REFI,NASDAQ
REGN,NASDAQ
RELL,NASDAQ
REYN,NASDAQ
RGCO,NASDAQ
RGLD,NASDAQ
RGP,NASDAQ
RICK,NASDAQ
RILYK,NASDAQ
RILYT,NASDAQ
RILYZ,NASDAQ
RMBI,NASDAQ
RMCO,NASDAQ
RMR,NASDAQ
ROP,NASDAQ
ROST,NASDAQ
RPRX,NASDAQ
RRBI,NASDAQ
RRR,NASDAQ
RUSHA,NASDAQ
RUSHB,NASDAQ
RVSB,NASDAQ
RWAY,NASDAQ
RWAYL,NASDAQ
RWAYZ,NASDAQ
SAFT,NASDAQ
SAIC,NASDAQ
SAMG,NASDAQ
SBCF,NASDAQ
SBFG,NASDAQ
SBGI,NASDAQ
SBLK,NASDAQ
SBUX,NASDAQ
SCHL,NASDAQ
SCVL,NASDAQ
SEIC,NASDAQ
SEVN,NASDAQ
SFBC,NASDAQ
SFD,NASDAQ
SFNC,NASDAQ
SGA,NASDAQ
SGC,NASDAQ
SHBI,NASDAQ
SHIP,NASDAQ
SHOO,NASDAQ
SIGA,NASDAQ
SIGI,NASDAQ
SIGIP,NASDAQ
SIRI,NASDAQ
SLM,NASDAQ
SLRC,NASDAQ
SMBC,NASDAQ
SPFI,NASDAQ
SPNS,NASDAQ
SPOK,NASDAQ
SPTN,NASDAQ
SQFTP,NASDAQ
SRBK,NASDAQ
SRCE,NASDAQ
SSNC,NASDAQ
STBA,NASDAQ
STEP,NASDAQ
STLD,NASDAQ
STRA,NASDAQ
STRRP,NASDAQ
STX,NASDAQ
SUNS,NASDAQ
SWBI,NASDAQ
SWKH,NASDAQ
SWKS,NASDAQ
SY,NASDAQ
SYBT,NASDAQ
TAIT,NASDAQ
TCBIO,NASDAQ
TCBK,NASDAQ
TCBS,NASDAQ
TCPC,NASDAQ
TECH,NASDAQ
TER,NASDAQ
TFSL,NASDAQ
THFF,NASDAQ
TIGO,NASDAQ
TILE,NASDAQ
TIPT,NASDAQ
TLF,NASDAQ
TMUS,NASDAQ
TOWN,NASDAQ
TPG,NASDAQ
TPGXL,NASDAQ
TRI,NASDAQ
TRIN,NASDAQ
TRINI,NASDAQ
TRINZ,NASDAQ
TRMD,NASDAQ
TRMK,NASDAQ
TROW,NASDAQ
TRS,NASDAQ
TRST,NASDAQ
TSBK,NASDAQ
TSCO,NASDAQ
TTEK,NASDAQ
TW,NASDAQ
TWIN,NASDAQ
TXN,NASDAQ
TXRH,NASDAQ
UBCP,NASDAQ
UBFO,NASDAQ
UBOH,NASDAQ
UBSI,NASDAQ
UFCS,NASDAQ
UFPI,NASDAQ
UG,NASDAQ
ULH,NASDAQ
UMBF,NASDAQ
UNB,NASDAQ
UNTY,NASDAQ
UPBD,NASDAQ
USCB,NASDAQ
USEA,NASDAQ
USLM,NASDAQ
UTMD,NASDAQ
UVSP,NASDAQ
VABK,NASDAQ
VALU,NASDAQ
VBNK,NASDAQ
VBTX,NASDAQ
VCTR,NASDAQ
VIASP,NASDAQ
VINP,NASDAQ
VIRC,NASDAQ
VLGEA,NASDAQ
VLY,NASDAQ
VOXR,NASDAQ
VRSK,NASDAQ
VRSN,NASDAQ
VSEC,NASDAQ
VTRS,NASDAQ
WABC,NASDAQ
WAFD,NASDAQ
WAFDP,NASDAQ
WASH,NASDAQ
WDC,NASDAQ
WDFC,NASDAQ
WEN,NASDAQ
WERN,NASDAQ
WEYS,NASDAQ
WFRD,NASDAQ
WHF,NASDAQ
WILC,NASDAQ
WINA,NASDAQ
WLFC,NASDAQ
WMG,NASDAQ
WNEB,NASDAQ
WSBC,NASDAQ
WSBCP,NASDAQ
WSBF,NASDAQ
WSC,NASDAQ
WSFS,NASDAQ
WTBA,NASDAQ
WTFC,NASDAQ
WTFCP,NASDAQ
WTW,NASDAQ
WVFC,NASDAQ
WWD,NASDAQ
WYNN,NASDAQ
XEL,NASDAQ
XOMAO,NASDAQ
XOMAP,NASDAQ
XRAY,NASDAQ
XRX,NASDAQ
YORW,NASDAQ
ZEUS,NASDAQ
ZION,NASDAQ
